STATUS,Symbol
OK,XXII
OK,FAX
OK,IAF
OK,CH
OK,FCO
OK,IF
OK,ISL
OK,ACU
OK,AIII
OK,ATNM
OK,AE
OK,ADK
OK,ACY
OK,WGA
OK,AIRI
OK,AXU
OK,AAU
OK,APT
OK,AAMC
OK,DIT
OK,ADGE
OK,ALN
OK,AMS
OK,AMPE
OK,AXN
OK,AMCO
OK,HRT
OK,AKG
OK,AINC
OK,AST
OK,AWX
OK,ASM
OK,BTG
OK,BTN
OK,BKJ
OK,BCV
OK,BAA
OK,BHB
OK,BRN
OK,BGSF
OK,BPMX
OK,BTX
OK,BGI
OK,BZM
OK,MHE
OK,BLE
OK,BLJ
OK,BFY
OK,BHV
OK,BDR
OK,BRG
OK,BVX
OK,BTI
OK,CANF
OK,ROX
OK,CAW
OK,CVM
OK,CEF
OK,CET
OK,LEU
OK,CCF
OK,CQH
OK,CQP
OK,LNG
OK,CVR
OK,CNR
OK,CPHI
OK,CKX
OK,GLV
OK,GLQ
OK,GLO
OK,MOC
OK,CIX
OK,LODE
OK,CTO
OK,MCF
OK,CUO
OK,CMT
OK,CVRS
OK,CRMD
OK,CRF
OK,CLM
OK,CVU
OK,CIK
OK,DHY
NOK,ABE           
NOK,ADK^A
NOK,AA^
NOK,AXX
NOK,ALTV
NOK,APP
NOK,ASB.WS
NOK,AVL
NOK,BIR^A
NOK,BTX.WS
NOK,BWL.A
NOK,BZC
NOK,CVM.WS
NOK,GTU
NOK,CRV
